mz,intensity,rel.intensity,theo.mass,delta,rdb,comp,sample
500.2788,6285424,2.98,500.2783,0.54,5.5,C25 H43 O7 N P ,sc_nuc_1
501.2821,1457482.6,0.69,501.2834,-1.33,0.5,C22 H46 O10 P ,sc_nuc_1
502.2944,1095008.6,0.52,502.2939,0.54,4.5,C25 H45 O7 N P ,sc_nuc_1
503.2976,225176.9,0.11,503.2991,-1.47,-0.5,C22 H48 O10 P ,sc_nuc_1
506.3258,875488.8,0.41,506.3252,0.55,2.5,C25 H49 O7 N P ,sc_nuc_1
507.4788,300588.9,0.14,507.4783,0.5,2.5,C33 H63 O3 ,sc_nuc_1
507.5151,537503.5,0.25,507.4783,36.86,2.5,C33 H63 O3 ,sc_nuc_1
508.3051,550364.1,0.26,508.3045,0.61,2.5,C24 H47 O8 N P ,sc_nuc_1
508.3414,487458.2,0.23,508.3409,0.52,1.5,C25 H51 O7 N P ,sc_nuc_1
509.289,1599524.1,0.76,509.2885,0.54,2.5,C24 H46 O9 P ,sc_nuc_1
509.458,408647.4,0.19,509.4575,0.47,2.5,C32 H61 O4 ,sc_nuc_1
510.2924,186377.8,0.09,510.292,0.43,2.5,C23 H44 O11 N ,sc_nuc_1
511.3074,477579,0.23,511.3068,0.6,6,C27 H46 O6 N P ,sc_nuc_1
511.4737,367475,0.17,511.4732,0.56,1.5,C32 H63 O4 ,sc_nuc_1
512.2994,373613,0.18,512.2994,-0.02,1.5,C23 H47 O9 N P ,sc_nuc_1
513.3228,660792.6,0.31,513.3225,0.35,5,C27 H48 O6 N P ,sc_nuc_1
515.3384,503827.1,0.24,515.3381,0.26,4,C27 H50 O6 N P ,sc_nuc_1
515.4662,239371.7,0.11,515.4681,-1.92,0.5,C31 H63 O5 ,sc_nuc_1
516.3256,333445.2,0.16,516.3248,0.75,8.5,C30 H47 O4 N P ,sc_nuc_1
517.4818,287576.8,0.14,517.4837,-1.92,-0.5,C31 H65 O5 ,sc_nuc_1
521.5308,517239.8,0.25,521.4939,36.86,2.5,C34 H65 O3 ,sc_nuc_1
522.2843,455168.8,0.22,522.2837,0.58,3.5,C24 H45 O9 N P ,sc_nuc_1
524.2789,928429.4,0.44,524.2783,0.63,7.5,C27 H43 O7 N P ,sc_nuc_1
524.2999,1394351.4,0.66,524.2994,0.54,2.5,C24 H47 O9 N P ,sc_nuc_1
525.2821,156585.5,0.07,525.2834,-1.35,2.5,C24 H46 O10 P ,sc_nuc_1
525.3033,216880,0.1,525.3013,1.93,11,C31 H44 O4 N P ,sc_nuc_1
526.2945,763618.3,0.36,526.2939,0.61,6.5,C27 H45 O7 N P ,sc_nuc_1
527.2981,221393.8,0.1,527.2991,-1,1.5,C24 H48 O10 P ,sc_nuc_1
527.3231,580354.3,0.28,527.3229,0.28,1,C24 H50 O9 N P ,sc_nuc_1
528.2737,281872.3,0.13,528.2732,0.52,6.5,C26 H43 O8 N P ,sc_nuc_1
528.2868,165737.8,0.08,528.2858,1.09,6,C27 H45 O8 P ,sc_nuc_1
528.3101,615937.4,0.29,528.3096,0.58,5.5,C27 H47 O7 N P ,sc_nuc_1
529.3175,460001.4,0.22,529.3174,0.14,5,C27 H48 O7 N P ,sc_nuc_1
530.3025,554714.6,0.26,530.3014,1.06,5,C27 H47 O8 P ,sc_nuc_1
531.44,202199.7,0.1,531.4419,-1.87,5.5,C34 H59 O4 ,sc_nuc_1
533.4556,182227.8,0.09,533.4575,-1.91,4.5,C34 H61 O4 ,sc_nuc_1
534.4897,838996.1,0.4,534.4892,0.57,3.5,C34 H64 O3 N ,sc_nuc_1
535.5214,515857.6,0.24,535.5096,11.79,2.5,C35 H67 O3 ,sc_nuc_1
535.5465,753063.3,0.36,535.5096,36.97,2.5,C35 H67 O3 ,sc_nuc_1
536.5054,5120416,2.43,536.5048,0.63,2.5,C34 H66 O3 N ,sc_nuc_1
536.5249,156837.8,0.07,536.5174,7.5,2,C35 H68 O3 ,sc_nuc_1
536.5499,249705.6,0.12,536.5174,32.47,2,C35 H68 O3 ,sc_nuc_1
537.4894,477044.1,0.23,537.4888,0.55,2.5,C34 H65 O4 ,sc_nuc_1
537.5087,1613090.1,0.76,537.5126,-3.93,2,C34 H67 O3 N ,sc_nuc_1
538.3156,604599.9,0.29,538.315,0.56,2.5,C25 H49 O9 N P ,sc_nuc_1
538.5121,211273.6,0.1,538.5205,-8.39,1.5,C34 H68 O3 N ,sc_nuc_1
539.5051,366003.8,0.17,539.5045,0.66,1.5,C34 H67 O4 ,sc_nuc_1
540.3311,966829.8,0.46,540.3307,0.45,1.5,C25 H51 O9 N P ,sc_nuc_1
541.3266,300307.8,0.14,541.3256,0.93,6,C28 H47 O9 N ,sc_nuc_1
543.3333,277935.6,0.13,543.333,0.22,5,C28 H50 O7 N P ,sc_nuc_1
543.4975,188541,0.09,543.4994,-1.89,0.5,C33 H67 O5 ,sc_nuc_1
544.2688,250673.8,0.12,544.2681,0.66,6.5,C26 H43 O9 N P ,sc_nuc_1
549.5622,268082.2,0.13,549.5252,36.96,2.5,C36 H69 O3 ,sc_nuc_1
555.2734,184456.6,0.09,555.2728,0.56,7.5,C28 H44 O9 P ,sc_nuc_1
