mz,intensity,rel.intensity,theo.mass,delta,rdb,comp,sample
502.2929,6864.2,0.39,502.2928,0.11,4.5,C25 H45 O7 N P ,sc_nuc_1
502.3373,5664,0.32,502.3374,-0.15,3.5,C26 H48 O8 N ,sc_nuc_1
502.3739,3733.6,0.21,502.3738,0.05,2.5,C27 H52 O7 N ,sc_nuc_1
504.3056,3556.5,0.2,504.3085,-2.91,3.5,C25 H47 O7 N P ,sc_nuc_1
506.3393,3452.1,0.2,506.3394,-0.08,6.5,C29 H49 O4 N P ,sc_nuc_1
508.4719,4016.7,0.23,508.4446,27.31,-1,C27 H60 O6 N2 ,sc_nuc_1
509.2873,52922.3,3.03,509.2857,1.56,7.5,C26 H41 O8 N2 ,sc_nuc_1
510.2906,13435.9,0.77,510.2936,-3.01,7,C26 H42 O8 N2 ,sc_nuc_1
511.2944,4345.7,0.25,511.2932,1.21,6.5,C26 H44 O6 N2 P ,sc_nuc_1
512.4157,6694.6,0.38,512.4184,-2.72,3,C29 H56 O5 N2 ,sc_nuc_1
514.3889,6570.4,0.38,514.3891,-0.18,7.5,C32 H52 O4 N ,sc_nuc_1
515.3578,8125.8,0.47,515.3582,-0.35,-1,C24 H54 O8 N P ,sc_nuc_1
516.3059,9248.3,0.53,516.3085,-2.54,4.5,C26 H47 O7 N P ,sc_nuc_1
517.3531,5582,0.32,517.3527,0.45,3,C27 H52 O6 N P ,sc_nuc_1
518.3214,12022.1,0.69,518.3241,-2.76,3.5,C26 H49 O7 N P ,sc_nuc_1
519.3443,3315.1,0.19,519.3429,1.41,7.5,C29 H47 O6 N2 ,sc_nuc_1
519.441,3152.4,0.18,519.4411,-0.14,0,C29 H62 O4 N P ,sc_nuc_1
520.3326,10179.4,0.58,520.3296,3.08,12,C32 H44 O4 N2 ,sc_nuc_1
520.3397,12752.1,0.73,520.3398,-0.11,2.5,C26 H51 O7 N P ,sc_nuc_1
520.5087,10355.1,0.59,520.481,27.72,-1,C29 H64 O5 N2 ,sc_nuc_1
521.4564,11087.4,0.64,521.4567,-0.37,-1,C29 H64 O4 N P ,sc_nuc_1
521.5119,3380.9,0.19,521.465,46.94,-1,C29 H63 O6 N ,sc_nuc_1
522.3553,69774.4,4,522.3554,-0.12,1.5,C26 H53 O7 N P ,sc_nuc_1
523.3585,19619.7,1.13,523.3632,-4.71,1,C26 H54 O7 N P ,sc_nuc_1
523.4721,4469.7,0.26,523.4595,12.6,3,C32 H61 O4 N ,sc_nuc_1
524.3297,4376.7,0.25,524.3347,-4.96,1.5,C25 H51 O8 N P ,sc_nuc_1
524.3709,45631.7,2.62,524.3711,-0.14,0.5,C26 H55 O7 N P ,sc_nuc_1
525.2879,6919.3,0.4,525.2877,0.26,11.5,C30 H42 O4 N2 P ,sc_nuc_1
525.3742,13925,0.8,525.3789,-4.68,0,C26 H56 O7 N P ,sc_nuc_1
526.41,4003.6,0.23,526.4102,-0.21,3.5,C30 H56 O6 N ,sc_nuc_1
527.2862,9627.2,0.55,527.2878,-1.55,11,C30 H41 O7 N ,sc_nuc_1
531.4076,17276.5,0.99,531.4047,2.93,2,C29 H58 O5 N P ,sc_nuc_1
532.3843,465815.4,26.71,532.3844,-0.12,2.5,C28 H54 O8 N ,sc_nuc_1
