,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
0,1,451.4517,1098388.4,1.31,,,,,,ko5,1,,,,0,0,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-9.15017885575824e-05,451.451608498211,452.46021,C16[13C]4H65O7P,-11.0,0.001332,2.9437,PO7[13C]4C16H65
1,2,452.278,2194362.3,2.63,452.2783,-0.23,1.5,C21 H43 O7 N P ,,ko5,1,21.0,43.0,7.0,1,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-9.01855243393602e-05,452.277909814476,453.284705,C19[13C]3H43O7P,2.0,-0.000475,-1.0478,PO7[13C]3C19H43
2,3,452.455,320428.3,0.38,,,,,,ko5,1,,,,0,0,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-8.99035701258479e-05,452.45491009643,453.463565,C15[13C]5H65O7P,-11.0,0.001385,3.0546,PO7[13C]5C15H65
3,4,453.2814,321166.4,0.38,453.2816,-0.25,1.5,C20 [13]C H43 O7 N P ,,ko5,1,20.0,43.0,7.0,1,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-8.858714661146e-05,453.281311412853,454.28806,C18[13C]4H43O7P,2.0,-0.000522,-1.1484,PO7[13C]4C18H43
4,5,453.3009,176664.1,0.21,453.2987,2.21,0.5,C22 H46 O7 P ,,ko5,1,22.0,46.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-8.85560838591238e-05,453.300811443916,454.30594,C22H47O7P,0.0,-0.002141,-4.7126,PO7C22H47
5,6,454.2572,305429.8,0.37,454.2575,-0.29,1.5,C20 H41 O8 N P ,,ko5,1,20.0,41.0,8.0,1,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-8.70327346253277e-05,454.257112967265,455.263969,C18[13C]3H41O8P,2.0,-0.000414,-0.9084,PO8[13C]3C18H41
6,7,455.2881,302633.3,0.36,455.2973,-9.13,0.5,C20 [13]C H45 O7 N P ,,ko5,1,20.0,45.0,7.0,1,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-8.53905504518251e-05,455.28801460945,456.294769,C16[13C]6H43O7P,2.0,-0.000515,-1.1292,PO7[13C]6C16H43
7,8,460.2701,189602.5,0.23,460.2595,10.51,4.0,C23 H41 O7 P ,,ko5,1,23.0,41.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-7.74544154703626e-05,460.270022545585,461.266815,C23H42O7P,3.5,-0.010477,-22.714,PO7C23H42
8,9,462.2988,2502146.8,3.0,462.2752,23.58,3.0,C23 H43 O7 P ,,ko5,1,23.0,43.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-7.42227741542459e-05,462.298725777226,463.313159,C15[13C]6H46O8P,-0.5,0.007163,15.4611,PO8[13C]6C15H46
9,10,463.3021,643137.0,0.77,463.283,19.09,2.5,C23 H44 O7 P ,,ko5,1,23.0,44.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-7.26245557225115e-05,463.302027375444,464.320984,C15[13C]6H47O8P,-1.0,0.011687,25.1695,PO8[13C]6C15H47
10,11,464.3145,2611367.5,3.13,464.2908,23.66,2.0,C23 H45 O7 P ,,ko5,1,23.0,45.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-7.10118413396868e-05,464.314428988159,465.328809,C15[13C]6H48O8P,-1.5,0.00711,15.2799,PO8[13C]6C15H48
11,12,465.3035,789958.3,0.95,465.2987,4.85,1.5,C23 H46 O7 P ,,ko5,1,23.0,46.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.94364022596654e-05,465.303430563598,466.30594,C23H47O7P,1.0,-0.00476,-10.2081,PO7C23H47
12,13,465.3089,441397.7,0.53,465.2987,10.21,1.5,C23 H46 O7 P ,,ko5,1,23.0,46.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.94278002667108e-05,465.3088305722,466.30594,C23H47O7P,1.0,-0.01016,-21.7885,PO7C23H47
13,14,465.3179,681136.2,0.82,465.2987,19.22,1.5,C23 H46 O7 P ,,ko5,1,23.0,46.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.94134636117864e-05,465.317830586536,466.336634,C15[13C]6H49O8P,-2.0,0.011534,24.7323,PO8[13C]6C15H49
14,15,465.4675,519177.9,0.62,,,,,,ko5,1,,,,0,0,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.91751565477104e-05,465.467430824843,466.47586,C17[13C]4H67O7P,-11.0,0.00116,2.486,PO7[13C]4C17H67
15,16,466.2938,271249.5,0.32,466.2939,-0.15,1.5,C22 H45 O7 N P ,,ko5,1,22.0,45.0,7.0,1,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.78588923294884e-05,466.293732141108,467.300355,C20[13C]3H45O7P,2.0,-0.000647,-1.385,PO7[13C]3C20H45
16,17,466.3068,193024.2,0.23,466.3065,0.27,1.0,C23 H47 O7 P ,,ko5,1,23.0,47.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.78381838279309e-05,466.306732161816,467.313766,C23H48O7P,0.5,-0.000237,-0.5064,PO7C23H48
17,18,467.3246,308503.7,0.37,467.3143,10.29,0.5,C23 H48 O7 P ,,ko5,1,23.0,48.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.62168674521516e-05,467.324533783133,468.321591,C23H49O7P,0.0,-0.010213,-21.8082,PO7C23H49
18,19,468.3069,172211.0,0.21,468.3051,1.77,1.0,C21 [13]C H46 O7 N P ,,ko5,1,21.0,46.0,7.0,1,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.46521012152406e-05,468.306835347899,469.316005,C20[13C]3H47O7P,1.0,0.0019,4.0477,PO7[13C]3C20H47
19,20,469.2343,315028.6,0.38,469.2446,-10.33,2.0,C20 H40 O9 N P ,,ko5,1,20.0,40.0,9.0,1,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.31747885733681e-05,469.234236825211,470.24334,C24H39O7P,6.0,0.001833,3.8988,PO7C24H39
20,21,469.2836,288597.5,0.35,469.2846,-1.02,1.5,C20 [13]C2 H44 O8 P ,,ko5,1,20.0,44.0,8.0,0,1,2,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-6.30962555636158e-05,469.283536903744,470.291915,C20[13C]2H45O8P,1.0,0.001108,2.3556,PO8[13C]2C20H45
21,22,473.2824,29505264.0,35.32,473.284,-1.67,0.0,C20 [13]C H45 O9 P ,,ko5,1,20.0,45.0,9.0,0,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-5.67263204845568e-05,473.28234327368,474.300864,C15[13C]7H44O8P,1.5,0.011251,23.7204,PO8[13C]7C15H44
22,23,474.2857,8691015.0,10.4,474.2837,1.94,-0.5,C20 H45 O9 N P ,,ko5,1,20.0,45.0,9.0,1,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-5.51281020528222e-05,474.285644871898,475.282465,C24H44O7P,3.5,-0.010449,-21.9859,PO7C24H44
23,24,474.3621,170296.8,0.2,474.3238,38.36,-1.0,C20 [13]C2 H49 O8 P ,,ko5,1,20.0,49.0,8.0,0,1,2,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-5.5006399782131e-05,474.3620449936,475.367425,C21[13C]2H54O7P,-2.5,-0.00189,-3.9751,PO7[13C]2C21H54
24,25,475.2698,1068496.8,1.28,475.2696,0.25,5.0,C21 [13]C3 H41 O7 P ,,ko5,1,21.0,41.0,7.0,0,1,3,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-5.35604684849264e-05,475.269746439532,476.27688,C21[13C]3H42O7P,4.5,-0.000137,-0.2868,PO7[13C]3C21H42
25,26,475.2891,946515.5,1.13,475.2916,-2.46,-1.0,C20 H46 O9 N P ,,ko5,1,20.0,46.0,9.0,1,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-5.35297243249218e-05,475.289046470276,476.29029,C24H45O7P,3.0,-0.006026,-12.6521,PO7C24H45
26,27,476.2732,316690.6,0.38,476.2738,-0.55,4.0,C22 [13]C H42 O7 N P ,,ko5,1,22.0,42.0,7.0,1,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-5.1962090757026e-05,476.273148037909,477.280235,C20[13C]4H42O7P,4.5,-0.000183,-0.3842,PO7[13C]4C20H42
27,28,478.2938,1411295.0,1.69,478.2939,-0.15,2.5,C23 H45 O7 N P ,,ko5,1,23.0,45.0,7.0,1,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.87433524303414e-05,478.293751256648,479.300355,C21[13C]3H45O7P,3.0,-0.000666,-1.3902,PO7[13C]3C21H45
28,29,479.297,353914.1,0.42,479.2973,-0.31,2.5,C22 [13]C H45 O7 N P ,,ko5,1,22.0,45.0,7.0,1,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.71452932947726e-05,479.296952854707,480.30371,C20[13C]4H45O7P,3.0,-0.000513,-1.0683,PO7[13C]4C20H45
29,30,479.4831,665804.5,0.8,,,,,,ko5,1,,,,0,0,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.68488431301701e-05,479.483053151157,480.491511,C18[13C]4H69O7P,-11.0,0.001187,2.4712,PO7[13C]4C18H69
30,31,480.3004,382071.0,0.46,480.3006,-0.24,2.5,C21 [13]C2 H45 O7 N P ,,ko5,1,21.0,45.0,7.0,1,1,2,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.55469155668722e-05,480.300354453084,481.307065,C19[13C]5H45O7P,3.0,-0.00056,-1.1632,PO7[13C]5C19H45
31,32,480.3094,2926190.5,3.5,480.3096,-0.16,1.5,C23 H47 O7 N P ,,ko5,1,23.0,47.0,7.0,1,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.55325789119479e-05,480.309354467421,481.316005,C21[13C]3H47O7P,2.0,-0.000619,-1.287,PO7[13C]3C21H47
32,33,480.4864,177545.3,0.21,,,,,,ko5,1,,,,0,0,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.52506246984355e-05,480.486354749375,481.494865,C17[13C]5H69O7P,-11.0,0.001241,2.5766,PO7[13C]5C17H69
33,34,481.3038,1479763.0,1.77,481.304,-0.14,2.5,C20 [13]C3 H45 O7 N P ,,ko5,1,20.0,45.0,7.0,1,1,3,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.3948537838972e-05,481.303756051462,482.310419,C18[13C]6H45O7P,3.0,-0.000607,-1.2577,PO7[13C]6C18H45
34,35,481.3128,835250.0,1.0,481.3129,-0.15,1.5,C22 [13]C H47 O7 N P ,,ko5,1,22.0,47.0,7.0,1,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.39342011840476e-05,481.312756065799,482.31936,C20[13C]4H47O7P,2.0,-0.000666,-1.3813,PO7[13C]4C20H47
35,36,481.3295,581975.8,0.7,481.33,-0.42,0.5,C24 H50 O7 P ,,ko5,1,24.0,50.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.39075987243546e-05,481.329456092401,482.337241,C24H51O7P,0.0,0.000515,1.0667,PO7C24H51
36,37,482.3071,451302.4,0.54,482.3118,-4.7,2.0,C20 [13]C3 H46 O7 N P ,,ko5,1,20.0,46.0,7.0,1,1,3,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.23503194072374e-05,482.307057649681,483.313774,C17[13C]7H45O7P,3.0,-0.000553,-1.145,PO7[13C]7C17H45
37,38,482.3161,944129.8,1.13,482.3163,-0.13,1.5,C21 [13]C2 H47 O7 N P ,,ko5,1,21.0,47.0,7.0,1,1,2,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.23359827523131e-05,482.316057664017,483.322715,C19[13C]5H47O7P,2.0,-0.000613,-1.2683,PO7[13C]5C19H47
38,39,482.3328,180364.4,0.22,482.3333,-0.49,0.5,C23 [13]C H50 O7 P ,,ko5,1,23.0,50.0,7.0,0,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.23093802926201e-05,482.33275769062,483.340595,C23[13C]H51O7P,0.0,0.000568,1.1746,PO7[13C]C23H51
39,40,483.3107,450066.1,0.54,483.3092,1.52,0.5,C23 H48 O8 P ,,ko5,1,23.0,48.0,8.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.07516230870055e-05,483.310659248377,484.317129,C16[13C]8H45O7P,3.0,-0.0008,-1.6521,PO7[13C]8C16H45
40,41,483.3195,2591505.8,3.1,483.3196,-0.16,1.5,C20 [13]C3 H47 O7 N P ,,ko5,1,20.0,47.0,7.0,1,1,3,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-4.07376050244127e-05,483.319459262395,484.32607,C18[13C]6H47O7P,2.0,-0.00066,-1.3622,PO7[13C]6C18H47
41,42,484.3228,833281.9,1.0,484.3275,-4.65,1.0,C20 [13]C3 H48 O7 N P ,,ko5,1,20.0,48.0,7.0,1,1,3,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-3.91393865926783e-05,484.322760860613,485.329424,C17[13C]7H47O7P,2.0,-0.000607,-1.2497,PO7[13C]7C17H47
42,43,485.2787,889281.8,1.06,485.2796,-0.85,1.5,C20 [13]C2 H44 O9 P ,,ko5,1,20.0,44.0,9.0,0,1,2,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-3.76166745435453e-05,485.278662383325,486.296394,C15[13C]8H43O8P,3.0,0.010461,21.5122,PO8[13C]8C15H43
43,44,485.3262,923104.8,1.11,485.3249,1.35,-0.5,C23 H50 O8 P ,,ko5,1,23.0,50.0,8.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-3.75410088647779e-05,485.326162458991,486.332779,C16[13C]8H47O7P,2.0,-0.000653,-1.3433,PO7[13C]8C16H47
44,45,486.2821,247965.4,0.3,486.2837,-1.66,0.5,C21 H45 O9 N P ,,ko5,1,21.0,45.0,9.0,1,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-3.60182968156449e-05,486.282063981703,487.282465,C25H44O7P,4.5,-0.006869,-14.0957,PO7C25H44
45,46,486.3295,291778.1,0.35,486.3282,1.24,-0.5,C22 [13]C H50 O8 P ,,ko5,1,22.0,50.0,8.0,0,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-3.59427904330434e-05,486.32946405721,487.336134,C15[13C]9H47O7P,2.0,-0.0006,-1.2313,PO7[13C]9C15H47
46,47,487.3328,264436.2,0.32,487.3316,1.26,-0.5,C21 [13]C2 H50 O8 P ,,ko5,1,21.0,50.0,8.0,0,1,2,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,-3.43445720013088e-05,487.332765655428,488.338865,C21[13C]2H51O8P,-1.0,-0.001171,-2.3974,PO8[13C]2C21H51
