,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
0,1,600.4878,79427.0,3.62,600.4877,0.04,2.0,C35 H69 O5 P ,,ko5,1,35,69,5,0,1,0,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,600.4886,599.48005,C29[13C]2H68NO7P,-1.0,-0.001287,-2.1471,NPO7[13C]2C29H68
1,2,600.52,9344.5,0.43,600.5198,0.25,1.5,C35 H70 O6 N ,,ko5,1,35,70,6,1,0,0,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,600.5208,599.515214,C22[13C]7H71NO8P,-4.5,0.001677,2.7968,NPO8[13C]7C22H71
2,3,601.4912,10637.2,0.48,601.4912,-0.04,2.0,C34 H67 O7 N ,,ko5,1,34,67,7,1,0,0,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,601.492,600.483405,C28[13C]3H68NO7P,-1.0,-0.001332,-2.2188,NPO7[13C]3C28H68
3,4,603.5344,8570.3,0.39,603.5343,0.1,1.0,C33 [13]C2 H71 O6 N ,,ko5,1,33,71,6,1,0,2,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,603.5352,602.529748,C20[13C]9H72NO8P,-5.0,0.001811,3.0064,NPO8[13C]9C20H72
4,5,606.4478,9068.3,0.41,606.4472,0.57,11.0,C38 [13]C H59 O4 N ,,ko5,1,38,59,4,1,0,1,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,606.4486,605.441442,C17[13C]13H59NO8P,2.5,0.000105,0.1741,NPO8[13C]13C17H59
5,6,606.5443,14092.7,0.64,606.5444,-0.07,1.0,C30 [13]C5 H71 O6 N ,,ko5,1,30,71,6,1,0,5,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,606.5451,605.53594,C31H76NO7P,-5.0,-0.001897,-3.1321,NPO7C31H76
6,7,607.3898,16232.1,0.74,607.3899,-0.03,9.0,C30 [13]C5 H55 O6 P ,,ko5,1,30,55,6,0,1,5,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,607.3906,606.382812,C17[13C]15H50NO7P,9.0,-0.000525,-0.8656,NPO7[13C]15C17H50
7,8,607.5653,8089.2,0.37,607.5655,-0.19,-1.0,C33 [13]C3 H77 O4 P ,,ko5,1,33,77,4,0,1,3,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,607.5661,606.561049,C20[13C]9H76NO8P,-7.0,0.002212,3.6461,NPO8[13C]9C20H76
8,9,608.4546,6965.1,0.32,608.4552,-0.59,2.5,C28 [13]C5 H64 O7 P ,,ko5,1,28,64,7,0,1,5,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,608.4554,607.448152,C15[13C]15H59NO8P,2.5,0.000015,0.0248,NPO8[13C]15C15H59
9,10,608.4635,10529.3,0.48,608.4629,0.59,10.0,C38 [13]C H61 O4 N ,,ko5,1,38,61,4,1,0,1,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,608.4643,607.457092,C17[13C]13H61NO8P,1.5,0.000055,0.0913,NPO8[13C]13C17H61
