,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
140,141,552.4993,304259.4,0.36,552.416,83.26,0.0,C29 H61 O7 P ,,ko5,1,29.0,61.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,6.94631639018378e-05,552.499369463164,553.416302,C25H61O12,-4.5,-0.090337,-163.2353,O12C25H61
141,142,555.2726,372630.4,0.45,555.2725,0.15,4.0,C22 [13]C2 H44 O11 N P ,,ko5,1,22.0,44.0,11.0,1,1,2,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,7.38809244686966e-05,555.272673880924,556.251977,C27H40O12,8.0,-0.027967,-50.2779,O12C27H40
142,143,562.5203,166407.6,0.2,562.4004,119.93,2.0,C30 H59 O7 P ,,ko5,1,30.0,59.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,8.54262326792839e-05,562.520385426233,563.494553,C25H71O12,-9.5,-0.033103,-58.7454,O12C25H71
143,144,563.5519,4439744.0,5.32,,,,,,ko5,1,,,,0,0,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,8.70695319259474e-05,563.551987069532,564.502378,C25H72O12,-10.0,-0.056879,-100.7601,O12C25H72
144,145,563.5771,406542.5,0.49,,,,,,ko5,1,,,,0,0,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,8.71096745597354e-05,563.577187109675,564.502378,C25H72O12,-10.0,-0.082079,-145.4013,O12C25H72
145,146,564.2613,267165.9,0.32,564.2616,-0.22,6.0,C24 [13]C2 H43 O11 P ,,ko5,1,24.0,43.0,11.0,0,1,2,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,8.81995789263185e-05,564.261388199579,565.281546,C25[13C]H44O13,5.0,0.012888,22.7994,O13[13C]C25H44
146,147,564.536,734080.7,0.88,564.416,119.97,1.0,C30 H61 O7 P ,,ko5,1,30.0,61.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,8.8637165493843e-05,564.536088637165,565.510203,C25H73O12,-10.5,-0.033156,-58.63,O12C25H73
147,148,564.5552,1635100.6,1.96,564.416,139.2,1.0,C30 H61 O7 P ,,ko5,1,30.0,61.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,8.86677503576818e-05,564.55528866775,565.510203,C25H73O12,-10.5,-0.052356,-92.5817,O12C25H73
148,149,565.5394,181771.1,0.22,565.4239,115.58,0.5,C30 H62 O7 P ,,ko5,1,30.0,62.0,7.0,0,1,0,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,9.02355432217434e-05,565.539490235543,566.518028,C25H74O12,-11.0,-0.028732,-50.7176,O12C25H74
149,150,567.3413,628864.1,0.75,567.3411,0.11,7.0,C30 [13]C H51 O7 P ,,ko5,1,30.0,51.0,7.0,0,1,1,ko5_1,1,1.59296165826225e-06,-0.0008106470372148,9.31059008337663e-05,567.341393105901,568.345877,C27H52O12,2.0,-0.002786,-4.902,O12C27H52
