,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
0,1,600.4878,79427.0,3.62,600.4877,0.04,2.0,C35 H69 O5 P ,,ko5,1,35,69,5,0,1,0,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,600.4886,599.481508,C24[13C]7H65N2O6P,1.0,0.000171,0.2858,N2PO6[13C]7C24H65
1,2,600.52,9344.5,0.43,600.5198,0.25,1.5,C35 H70 O6 N ,,ko5,1,35,70,6,1,0,0,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,600.5208,599.513424,C24[13C]8H68N2O5P,0.5,-0.000113,-0.1891,N2PO5[13C]8C24H68
2,3,601.4912,10637.2,0.48,601.4912,-0.04,2.0,C34 H67 O7 N ,,ko5,1,34,67,7,1,0,0,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,601.492,600.484863,C23[13C]8H65N2O6P,1.0,0.000126,0.2101,N2PO6[13C]8C23H65
3,4,603.5344,8570.3,0.39,603.5343,0.1,1.0,C33 [13]C2 H71 O6 N ,,ko5,1,33,71,6,1,0,2,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,603.5352,602.527958,C22[13C]10H69N2O5P,0.0,0.000021,0.0354,N2PO5[13C]10C22H69
4,5,606.4478,9068.3,0.41,606.4472,0.57,11.0,C38 [13]C H59 O4 N ,,ko5,1,38,59,4,1,0,1,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,606.4486,605.439652,C19[13C]14H56N2O5P,7.5,-0.001685,-2.7827,N2PO5[13C]14C19H56
5,6,606.5443,14092.7,0.64,606.5444,-0.07,1.0,C30 [13]C5 H71 O6 N ,,ko5,1,30,71,6,1,0,5,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,606.5451,605.538023,C19[13C]13H69N2O5P,0.0,0.000186,0.3069,N2PO5[13C]13C19H69
6,7,607.3898,16232.1,0.74,607.3899,-0.03,9.0,C30 [13]C5 H55 O6 P ,,ko5,1,30,55,6,0,1,5,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,607.3906,606.383647,C19[13C]12H51N2O7P,8.0,0.00031,0.5107,N2PO7[13C]12C19H51
7,8,607.5653,8089.2,0.37,607.5655,-0.19,-1.0,C33 [13]C3 H77 O4 P ,,ko5,1,33,77,4,0,1,3,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,607.5661,606.558635,C29[13C]2H77N2O6P,-5.0,-0.000202,-0.3338,N2PO6[13C]2C29H77
8,9,608.4546,6965.1,0.32,608.4552,-0.59,2.5,C28 [13]C5 H64 O7 P ,,ko5,1,28,64,7,0,1,5,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,608.4554,607.450208,C25[13C]7H61N2O6P,4.0,0.002071,3.4096,N2PO6[13C]7C25H61
9,10,608.4635,10529.3,0.48,608.4629,0.59,10.0,C38 [13]C H61 O4 N ,,ko5,1,38,61,4,1,0,1,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,608.4643,607.455302,C19[13C]14H58N2O5P,6.5,-0.001735,-2.8556,N2PO5[13C]14C19H58
10,11,609.4665,6262.6,0.29,609.4662,0.24,10.0,C37 [13]C2 H61 O4 N ,,ko5,1,37,61,4,1,0,2,ko5_1,1,7.45653456065636e-22,0.0008000000000265,0.0008000000000265,609.4673,608.458657,C18[13C]15H58N2O5P,6.5,-0.00138,-2.2678,N2PO5[13C]15C18H58
