name,area,deq,group
koewat_1_0177_RGB Trans.tiff,1446.09,42.91,ko
koewat_1_0177_RGB Trans.tiff,522.66,25.8,ko
koewat_1_0177_RGB Trans.tiff,9646.88,110.83,ko
koewat_1_0177_RGB Trans.tiff,4283.2,73.85,ko
koewat_1_0177_RGB Trans.tiff,2193.75,52.85,ko
koewat_1_0177_RGB Trans.tiff,2678.91,58.4,ko
koewat_1_0177_RGB Trans.tiff,573.83,27.03,ko
koewat_1_0177_RGB Trans.tiff,5178.91,81.2,ko
koewat_1_0177_RGB Trans.tiff,5594.53,84.4,ko
koewat_1_0177_RGB Trans.tiff,3218.36,64.01,ko
koewat_1_0177_RGB Trans.tiff,762.5,31.16,ko
koewat_1_0177_RGB Trans.tiff,788.28,31.68,ko
koewat_1_0177_RGB Trans.tiff,930.08,34.41,ko
koewat_1_0177_RGB Trans.tiff,2959.77,61.39,ko
koewat_1_0177_RGB Trans.tiff,868.75,33.26,ko
koewat_1_0177_RGB Trans.tiff,1673.83,46.16,ko
koewat_1_0177_RGB Trans.tiff,6542.97,91.27,ko
koewat_1_0177_RGB Trans.tiff,3815.23,69.7,ko
koewat_1_0177_RGB Trans.tiff,6131.64,88.36,ko
koewat_1_0177_RGB Trans.tiff,6696.09,92.33,ko
koewat_1_0177_RGB Trans.tiff,2409.38,55.39,ko
koewat_1_0177_RGB Trans.tiff,4101.17,72.26,ko
koewat_1_0177_RGB Trans.tiff,10514.84,115.71,ko
koewat_1_0177_RGB Trans.tiff,3258.59,64.41,ko
koewat_1_0177_RGB Trans.tiff,5396.48,82.89,ko
koewat_1_0177_RGB Trans.tiff,15331.25,139.72,ko
koewat_1_0177_RGB Trans.tiff,2322.27,54.38,ko
koewat_1_0177_RGB Trans.tiff,1075.78,37.01,ko
koewat_1_0177_RGB Trans.tiff,2316.02,54.3,ko
koewat_1_0177_RGB Trans.tiff,937.89,34.56,ko
koewat_1_0177_RGB Trans.tiff,4389.45,74.76,ko
koewat_1_0177_RGB Trans.tiff,1677.73,46.22,ko
koewat_1_0177_RGB Trans.tiff,767.58,31.26,ko
koewat_1_0177_RGB Trans.tiff,1994.92,50.4,ko
