name,area,deq,group
koiwat_1_0195_RGB Trans.tiff,4066.41,71.95,ko
koiwat_1_0195_RGB Trans.tiff,2876.17,60.51,ko
koiwat_1_0195_RGB Trans.tiff,2682.03,58.44,ko
koiwat_1_0195_RGB Trans.tiff,9261.72,108.59,ko
koiwat_1_0195_RGB Trans.tiff,1008.98,35.84,ko
koiwat_1_0195_RGB Trans.tiff,1344.92,41.38,ko
koiwat_1_0195_RGB Trans.tiff,1738.28,47.05,ko
koiwat_1_0195_RGB Trans.tiff,6016.8,87.53,ko
koiwat_1_0195_RGB Trans.tiff,12274.61,125.01,ko
koiwat_1_0195_RGB Trans.tiff,2694.14,58.57,ko
koiwat_1_0195_RGB Trans.tiff,5772.66,85.73,ko
koiwat_1_0195_RGB Trans.tiff,1353.91,41.52,ko
koiwat_1_0195_RGB Trans.tiff,3987.11,71.25,ko
koiwat_1_0195_RGB Trans.tiff,2908.98,60.86,ko
koiwat_1_0195_RGB Trans.tiff,2110.16,51.83,ko
koiwat_1_0195_RGB Trans.tiff,7143.36,95.37,ko
koiwat_1_0195_RGB Trans.tiff,1091.02,37.27,ko
koiwat_1_0195_RGB Trans.tiff,5133.59,80.85,ko
koiwat_1_0195_RGB Trans.tiff,2427.34,55.59,ko
koiwat_1_0195_RGB Trans.tiff,11479.69,120.9,ko
koiwat_1_0195_RGB Trans.tiff,2728.12,58.94,ko
koiwat_1_0195_RGB Trans.tiff,1921.48,49.46,ko
koiwat_1_0195_RGB Trans.tiff,7243.75,96.04,ko
koiwat_1_0195_RGB Trans.tiff,7592.97,98.32,ko
koiwat_1_0195_RGB Trans.tiff,6914.06,93.83,ko
koiwat_1_0195_RGB Trans.tiff,4608.98,76.61,ko
koiwat_1_0195_RGB Trans.tiff,3457.81,66.35,ko
koiwat_1_0195_RGB Trans.tiff,2110.16,51.83,ko
koiwat_1_0195_RGB Trans.tiff,714.45,30.16,ko
koiwat_1_0195_RGB Trans.tiff,2487.5,56.28,ko
koiwat_1_0195_RGB Trans.tiff,692.58,29.7,ko
